iter	Passed	Remaining
0	2	2091
1	5	2586
2	7	2349
3	10	2501
4	11	2377
5	14	2326
6	15	2264
7	18	2251
8	20	2207
9	21	2163
10	24	2235
11	26	2216
12	28	2188
13	31	2194
14	33	2173
15	35	2159
16	37	2146
17	40	2209
18	42	2209
19	44	2201
20	47	2193
21	49	2186
22	52	2217
23	55	2245
24	57	2233
25	59	2224
26	61	2219
27	63	2220
28	66	2214
29	68	2206
30	70	2207
31	72	2199
32	74	2192
33	76	2180
34	79	2199
35	81	2192
36	83	2182
37	85	2176
38	88	2177
39	90	2175
40	92	2162
41	94	2157
42	96	2145
43	98	2135
44	101	2151
45	103	2145
46	105	2136
47	107	2139
48	109	2133
49	111	2125
50	113	2119
51	116	2120
52	118	2114
53	120	2106
54	122	2101
55	124	2100
56	126	2094
57	128	2086
58	130	2086
59	133	2089
60	135	2084
61	137	2077
62	139	2082
63	141	2075
64	143	2066
65	145	2064
66	148	2064
67	149	2055
68	152	2053
69	154	2047
70	155	2040
71	157	2036
72	160	2032
73	162	2034
74	164	2031
75	166	2025
76	168	2021
77	170	2018
78	172	2016
79	175	2017
80	177	2014
81	179	2013
82	182	2012
83	184	2011
84	187	2021
85	189	2016
86	192	2016
87	196	2033
88	198	2031
89	201	2034
90	203	2029
91	204	2021
92	207	2027
93	210	2028
94	212	2021
95	214	2022
96	217	2020
97	218	2014
98	221	2013
99	223	2008
100	225	2003
101	227	2003
102	230	2008
103	232	2002
104	234	2002
105	236	1998
106	238	1992
107	241	1998
108	243	1994
109	246	1993
110	249	1999
111	252	2003
112	258	2026
113	260	2025
114	264	2032
115	266	2030
116	269	2030
117	272	2033
118	273	2028
119	275	2022
120	278	2021
121	280	2020
122	282	2015
123	285	2013
124	287	2013
125	289	2009
126	292	2008
127	294	2004
128	296	1999
129	298	1994
130	300	1990
131	302	1990
132	305	1990
133	307	1985
134	309	1980
135	311	1980
136	313	1977
137	315	1972
138	318	1973
139	320	1967
140	322	1967
141	325	1964
142	326	1958
143	328	1954
144	332	1961
145	334	1958
146	336	1953
147	339	1952
148	341	1947
149	342	1941
150	344	1939
151	347	1939
152	349	1935
153	351	1933
154	354	1931
155	355	1925
156	357	1920
157	360	1921
158	362	1918
159	365	1917
160	367	1914
161	368	1908
162	370	1903
163	372	1900
164	374	1895
165	377	1894
166	379	1891
167	381	1887
168	383	1883
169	386	1885
170	388	1883
171	390	1881
172	393	1878
173	395	1876
174	396	1871
175	398	1866
176	400	1864
177	402	1860
178	404	1855
179	406	1850
180	408	1847
181	410	1843
182	411	1837
183	413	1832
184	415	1828
185	417	1827
186	418	1821
187	420	1817
188	423	1816
189	425	1812
190	426	1807
191	429	1806
192	431	1802
193	432	1798
194	435	1796
195	437	1793
196	439	1791
197	441	1788
198	443	1785
199	445	1781
200	447	1778
201	448	1773
202	450	1767
203	452	1763
204	454	1762
205	456	1757
206	457	1752
207	459	1747
208	460	1744
209	463	1742
210	464	1737
211	466	1732
212	468	1729
213	469	1725
214	471	1720
215	473	1717
216	474	1713
217	476	1710
218	478	1705
219	479	1700
220	481	1696
221	484	1697
222	486	1694
223	487	1690
224	489	1686
225	491	1681
226	493	1679
227	494	1674
228	495	1669
229	497	1666
230	500	1666
231	502	1662
232	503	1657
233	505	1653
234	506	1650
235	508	1646
236	510	1642
237	511	1638
238	513	1634
239	515	1631
240	516	1627
241	518	1624
242	520	1620
243	521	1616
244	523	1612
245	525	1611
246	527	1606
247	528	1602
248	530	1600
249	532	1598
250	534	1594
251	535	1590
252	537	1587
253	539	1583
254	540	1580
255	542	1576
256	544	1573
257	546	1571
258	548	1568
259	550	1567
260	552	1564
261	554	1560
262	555	1556
263	557	1553
264	558	1550
265	561	1549
266	563	1545
267	564	1542
268	566	1538
269	568	1536
270	569	1533
271	571	1529
272	573	1526
273	575	1524
274	577	1522
275	578	1518
276	580	1515
277	582	1512
278	584	1509
279	585	1506
280	587	1503
281	589	1500
282	591	1498
283	593	1495
284	594	1492
285	596	1490
286	598	1488
287	600	1484
288	602	1483
289	604	1480
290	606	1478
291	608	1475
292	610	1472
293	612	1470
294	614	1468
295	616	1465
296	617	1462
297	619	1460
298	622	1458
299	623	1455
300	625	1452
301	627	1450
302	629	1447
303	630	1444
304	632	1441
305	634	1438
306	636	1436
307	638	1434
308	640	1431
309	641	1428
310	643	1425
311	645	1423
312	646	1419
313	648	1416
314	649	1413
315	652	1411
316	654	1409
317	655	1406
318	657	1402
319	659	1400
320	660	1397
321	662	1394
322	663	1391
323	665	1388
324	667	1386
325	669	1384
326	671	1381
327	672	1378
328	674	1375
329	676	1372
330	677	1369
331	678	1366
332	680	1363
333	682	1361
334	684	1357
335	686	1355
336	688	1354
337	690	1351
338	691	1348
339	693	1346
340	694	1342
341	696	1340
342	698	1337
343	700	1334
344	702	1333
345	704	1331
346	706	1329
347	708	1326
348	709	1324
349	711	1321
350	713	1319
351	715	1317
352	717	1314
353	718	1311
354	720	1308
355	722	1306
356	723	1303
357	725	1300
358	726	1297
359	728	1295
360	731	1293
361	732	1291
362	734	1288
363	736	1286
