ID,배터리용량,주행거리(km),보증기간(년),가격(백만원),연식대비_보증기간_비율,연식대비_주행거리_비율,배터리용량대비_주행거리_비율,제조사_B사,제조사_H사,제조사_K사,제조사_P사,제조사_T사,제조사_V사,모델_ID4,모델_ION5,모델_ION6,모델_IONIQ,모델_KNE,모델_M3,모델_MS,모델_MX,모델_MY,모델_Niro,모델_Q4eT,모델_RSeTGT,모델_Soul,모델_Tay,모델_TayCT,모델_TayGTS,모델_eT,모델_i3,모델_i5,모델_iX,차량상태_Nearly New,차량상태_Pre-Owned,구동방식_FWD,구동방식_RWD,사고이력_Yes,연식(년)_1,연식(년)_2
TRAIN_0000,86.077,13642,0,159.66,0.0,4547.333333333333,156.66593934104299,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
TRAIN_0001,56.0,10199,6,28.01,6.0,10199.0,178.9298245614035,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
TRAIN_0002,91.2,2361,7,66.27,7.0,2361.0,25.607375271149674,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
TRAIN_0003,78.227,21683,3,99.16,3.0,21683.0,273.68195185984575,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
TRAIN_0004,61.018,178205,1,62.02,1.0,178205.0,2873.439969041246,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
TRAIN_0005,58.162,103100,3,37.02,3.0,103100.0,1742.6726615056962,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
TRAIN_0006,81.537,19395,3,83.42,3.0,19395.0,234.98552164483806,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
TRAIN_0007,78.227,30583,5,99.66,2.5,15291.5,386.0173930604465,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
TRAIN_0008,90.0,2226,8,74.06,8.0,2226.0,24.46153846153846,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TRAIN_0009,90.0,3683,7,59.66,7.0,3683.0,40.472527472527474,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TRAIN_0010,58.982,10879,8,28.78,2.6666666666666665,3626.3333333333335,181.3710779900637,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True
TRAIN_0011,90.0,1131,8,40.5,8.0,1131.0,12.428571428571429,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TRAIN_0012,68.125,44068,5,41.21,2.5,22034.0,637.5117540687161,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
TRAIN_0013,90.0,1191,10,21.36,10.0,1191.0,13.087912087912088,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
TRAIN_0014,56.0,16011,5,28.87,5.0,16011.0,280.89473684210526,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
TRAIN_0015,91.2,5681,7,66.12,7.0,5681.0,61.61605206073752,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
